bay_id,st_marker_id,status,location,lat,lon
5556,12045W,Present,"(-37.812465971039046, 144.98308392926054)",-37.812465971039046,144.98308392926054
3822,C5500,Unoccupied,"(-37.80718808695781, 144.9543188718062)",-37.80718808695781,144.9543188718062
1897,1385W,Unoccupied,"(-37.81671279634483, 144.9573449461614)",-37.81671279634483,144.9573449461614
6009,13017S,Present,"(-37.819984138312684, 144.9512977110238)",-37.819984138312684,144.9512977110238
909,C664,Present,"(-37.814502169812556, 144.96887680360908)",-37.814502169812556,144.96887680360908
8898,C2976,Present,"(-37.812855584057786, 144.96024746530992)",-37.812855584057786,144.96024746530992
4320,C6978,Unoccupied,"(-37.809331444399675, 144.9562035389631)",-37.809331444399675,144.9562035389631
6264,13331W,Present,"(-37.81897597221868, 144.94840418452947)",-37.81897597221868,144.94840418452947
3044,5147W,Present,"(-37.80285324569802, 144.9568774084001)",-37.80285324569802,144.9568774084001
5100,9898N,Present,"(-37.825504773219706, 144.96878836099705)",-37.825504773219706,144.96878836099705
4325,C6988,Unoccupied,"(-37.80927683391343, 144.95627639567826)",-37.80927683391343,144.95627639567826
5480,11883W,Present,"(-37.81075649038572, 144.97804723010242)",-37.81075649038572,144.97804723010242
5922,12809S,Present,"(-37.80297901819951, 144.96714913656768)",-37.80297901819951,144.96714913656768
5494,11921W,Unoccupied,"(-37.81583101272916, 144.98251129119456)",-37.81583101272916,144.98251129119456
6640,13621W,Unoccupied,"(-37.81946689527387, 144.94348813888075)",-37.81946689527387,144.94348813888075
3820,C5494,Unoccupied,"(-37.80723525042285, 144.9543402966289)",-37.80723525042285,144.9543402966289
2728,4373W,Present,"(-37.80967442993663, 144.9609548476264)",-37.80967442993663,144.9609548476264
2259,3956N,Present,"(-37.81259394702187, 144.95321026102414)",-37.81259394702187,144.95321026102414
6371,13600E,Present,"(-37.82047869686021, 144.9440771269126)",-37.82047869686021,144.9440771269126
1732,2339S,Unoccupied,"(-37.8119049138685, 144.97144518199067)",-37.8119049138685,144.97144518199067
5891,C9004,Present,"(-37.80285527241979, 144.9668733826557)",-37.80285527241979,144.9668733826557
8150,15193S,Unoccupied,"(-37.816803333884565, 144.98165467509347)",-37.816803333884565,144.98165467509347
5687,12351S,Unoccupied,"(-37.810070441749716, 144.97979226021312)",-37.810070441749716,144.97979226021312
3390,6223W,Present,"(-37.806091285795176, 144.95088646363757)",-37.806091285795176,144.95088646363757
5603,12225S,Unoccupied,"(-37.80946965054932, 144.97412757656707)",-37.80946965054932,144.97412757656707
1501,1858N,Unoccupied,"(-37.81900860184379, 144.95826153479936)",-37.81900860184379,144.95826153479936
5804,12536N,Unoccupied,"(-37.8157464614875, 144.98034187475793)",-37.8157464614875,144.98034187475793
3813,C5466,Unoccupied,"(-37.8074008905007, 144.95441548939652)",-37.8074008905007,144.95441548939652
8152,15197S,Present,"(-37.81674508862993, 144.9811153053907)",-37.81674508862993,144.9811153053907
8123,15146N,Present,"(-37.816686653828086, 144.98164638908594)",-37.816686653828086,144.98164638908594
5508,11949W,Present,"(-37.81509804827256, 144.9826358111394)",-37.81509804827256,144.9826358111394
6158,13206N,Unoccupied,"(-37.818614923484425, 144.94767834910442)",-37.818614923484425,144.94767834910442
4324,C6986,Unoccupied,"(-37.80929193561419, 144.95621118531693)",-37.80929193561419,144.95621118531693
6071,13207S,Unoccupied,"(-37.81874137488337, 144.94792655456513)",-37.81874137488337,144.94792655456513
5433,11818E,Present,"(-37.81368278298126, 144.9777961433166)",-37.81368278298126,144.9777961433166
2622,2473S,Unoccupied,"(-37.816576812948064, 144.9554080891807)",-37.816576812948064,144.9554080891807
1737,2344N,Unoccupied,"(-37.81182606166182, 144.97116208831739)",-37.81182606166182,144.97116208831739
5526,11985W,Present,"(-37.81416868420777, 144.9827942083191)",-37.81416868420777,144.9827942083191
5890,C9000,Present,"(-37.8028519401346, 144.96684307221085)",-37.8028519401346,144.96684307221085
8320,12101W,Present,"(-37.81016737728291, 144.98346721406466)",-37.81016737728291,144.98346721406466
3619,7567S,Present,"(-37.805918333860525, 144.9554908226089)",-37.805918333860525,144.9554908226089
3686,7646N,Unoccupied,"(-37.80500159217506, 144.95712214565845)",-37.80500159217506,144.95712214565845
5822,12531S,Present,"(-37.81591260602434, 144.98015121969343)",-37.81591260602434,144.98015121969343
5835,12557S,Present,"(-37.816014572676195, 144.9810797335309)",-37.816014572676195,144.9810797335309
8129,15158N,Present,"(-37.8166424697812, 144.98123340444351)",-37.8166424697812,144.98123340444351
5501,11935W,Present,"(-37.815460095519256, 144.98257422341663)",-37.815460095519256,144.98257422341663
3033,5133W,Present,"(-37.80311249971332, 144.95699835578)",-37.80311249971332,144.95699835578
3821,C5498,Present,"(-37.807211723869486, 144.9543295690596)",-37.807211723869486,144.9543295690596
5834,12555S,Present,"(-37.81600397738242, 144.98098276323154)",-37.81600397738242,144.98098276323154
