bay_id,st_marker_id,status,location,lat,lon
3918,C5750,Unoccupied,"(-37.80477303060156, 144.95534364200836)",-37.80477303060156,144.95534364200836
5913,12800N,Present,"(-37.80278119832012, 144.9670856536688)",-37.80278119832012,144.9670856536688
1123,C1162,Present,"(-37.813683470397, 144.96009546501756)",-37.813683470397,144.96009546501756
4405,C7244,Unoccupied,"(-37.807950605621684, 144.95211398570711)",-37.807950605621684,144.95211398570711
2246,3934N,Present,"(-37.81223091873842, 144.95450060119254)",-37.81223091873842,144.95450060119254
6269,13341W,Present,"(-37.819255136931886, 144.94841503650807)",-37.819255136931886,144.94841503650807
8972,7877W,Unoccupied,"(-37.825633474274696, 144.97086905082563)",-37.825633474274696,144.97086905082563
5183,C8018,Present,"(-37.81051613054472, 144.95231748350216)",-37.81051613054472,144.95231748350216
3040,5143W,Present,"(-37.80295473347809, 144.95692438957946)",-37.80295473347809,144.95692438957946
1498,1853S,Unoccupied,"(-37.81887435368425, 144.9590848025996)",-37.81887435368425,144.9590848025996
2099,3611S,Unoccupied,"(-37.8078340524451, 144.97008448777785)",-37.8078340524451,144.97008448777785
909,C664,Unoccupied,"(-37.814502169812556, 144.96887680360908)",-37.814502169812556,144.96887680360908
3676,7636N,Present,"(-37.804961001825404, 144.94851534910413)",-37.804961001825404,144.94851534910413
5270,4501W,Unoccupied,"(-37.811863168591, 144.9535188884221)",-37.811863168591,144.9535188884221
5024,9459S,Unoccupied,"(-37.83030751183702, 144.9657543712225)",-37.83030751183702,144.9657543712225
3044,5147W,Unoccupied,"(-37.80285324569802, 144.9568774084001)",-37.80285324569802,144.9568774084001
981,908E,Unoccupied,"(-37.81691389165914, 144.96448428294315)",-37.81691389165914,144.96448428294315
3356,6044E,Present,"(-37.80611418666328, 144.95221261672373)",-37.80611418666328,144.95221261672373
3271,5830E,Unoccupied,"(-37.806714484474156, 144.95353012545496)",-37.806714484474156,144.95353012545496
1536,1900N,Unoccupied,"(-37.81379595725864, 144.97204452247968)",-37.81379595725864,144.97204452247968
6374,13606E,Unoccupied,"(-37.82031147826325, 144.94400366662887)",-37.82031147826325,144.94400366662887
5904,C9056,Present,"(-37.802921762392366, 144.96747839029825)",-37.802921762392366,144.96747839029825
8969,7871W,Present,"(-37.82580044547807, 144.9709239077456)",-37.82580044547807,144.9709239077456
3825,C5506,Unoccupied,"(-37.80711670747934, 144.95428638590482)",-37.80711670747934,144.95428638590482
4307,C6950,Unoccupied,"(-37.809270411989615, 144.95601108049476)",-37.809270411989615,144.95601108049476
6157,13204N,Unoccupied,"(-37.818596021745535, 144.94774327454994)",-37.818596021745535,144.94774327454994
3561,7087S,Unoccupied,"(-37.80896248136547, 144.95361135956864)",-37.80896248136547,144.95361135956864
8298,C7016,Present,"(-37.80734888486391, 144.95895325540297)",-37.80734888486391,144.95895325540297
5108,9908N,Unoccupied,"(-37.82554528515192, 144.96864979905382)",-37.82554528515192,144.96864979905382
3042,5145W,Present,"(-37.80290398980547, 144.9569008992706)",-37.80290398980547,144.9569008992706
